roll,manual,original_auto,our_marks,matches_manual,original_matched
101,100,100,20,False,Yes
102,95,90,0,False,No
103,80,80,0,False,Yes
104,100,100,0,False,Yes
105,85,80,20,False,No
106,75,75,0,False,Yes
107,60,55,0,False,No
108,100,100,0,False,Yes
109,90,90,20,False,Yes
110,85,80,0,False,No
111,100,100,0,False,Yes
112,95,90,0,False,No
113,80,80,20,False,Yes
114,100,100,0,False,Yes
115,90,85,0,False,No
116,75,75,0,False,Yes
117,70,70,20,False,Yes
118,100,100,0,False,Yes
119,90,85,0,False,No
120,80,80,0,False,Yes
